year,grand_prix,driver,constructor,race,pole_margin,pole_time
1950,Monaco,(ARG) Juan Manuel Fangio,Alfa Romeo,1,2.600s,1:50.200
1955,Monaco,(ARG) Juan Manuel Fangio,Mercedes,DNF,0.000s,1:41.100
1956,Monaco,(ARG) Juan Manuel Fangio,Ferrari,2,0.600s,1:44.000
1957,Monaco,(ARG) Juan Manuel Fangio,Maserati,1,0.600s,1:42.700
1958,Monaco,(GBR) Tony Brooks,Vanwall,DNF,1.000s,1:39.800
1959,Monaco,(GBR) Stirling Moss,Cooper-Climax,DNF,0.400s,1:39.600
1960,Monaco,(GBR) Stirling Moss,Lotus-Climax,1,1.000s,1:36.300
1961,Monaco,(GBR) Stirling Moss,Lotus-Climax,1,0.200s,1:39.100
1962,Monaco,(GBR) Jim Clark,Lotus-Climax,DNF,0.400s,1:35.400
1963,Monaco,(GBR) Jim Clark,Lotus-Climax,8R,0.700s,1:34.300
1964,Monaco,(GBR) Jim Clark,Lotus-Climax,4R,0.100s,1:34.000
1965,Monaco,(GBR) Graham Hill,BRM,1,0.300s,1:32.500
1966,Monaco,(GBR) Jim Clark,Lotus-Climax,DNF,0.200s,1:29.900
1967,Monaco,(AUS) Jack Brabham,Brabham-Repco,DNF,0.700s,1:27.600
1968,Monaco,(GBR) Graham Hill,Lotus-Ford Cosworth,1,0.600s,1:28.200
1969,Monaco,(GBR) Jackie Stewart,Matra-Ford Cosworth,DNF,0.400s,1:24.600
1970,Monaco,(GBR) Jackie Stewart,March-Ford Cosworth,DNF,0.600s,1:24.000
1971,Monaco,(GBR) Jackie Stewart,Tyrrell-Ford Cosworth,1,1.200s,1:23.200
1972,Monaco,(BRA) Emerson Fittipaldi,Lotus-Ford Cosworth,3,0.200s,1:21.400
1973,Monaco,(GBR) Jackie Stewart,Tyrrell-Ford Cosworth,1,0.200s,1:27.500
1974,Monaco,(AUT) Niki Lauda,Ferrari,DNF,0.300s,1:26.300
1975,Monaco,(AUT) Niki Lauda,Ferrari,1,0.690s,1:26.400
1976,Monaco,(AUT) Niki Lauda,Ferrari,1,0.260s,1:29.650
