year,grand_prix,driver,constructor,lap_time
1950,Britain,(ITA) Giuseppe Farina,Alfa Romeo,1:50.600
1951,Britain,(ITA) Giuseppe Farina,Alfa Romeo,1:44.000
1952,Britain,(ITA) Alberto Ascari,Ferrari,1:52.000
1953,Britain,"(ITA) Alberto Ascari
(ARG) Jose Froilan Gonzalez","Ferrari
Maserati",1:50.000
1954,Britain,"(ITA) Alberto Ascari
(FRA) Jean Behra
(ARG) Juan Manuel Fangio
(ARG) Jose Froilan Gonzalez
(GBR) Mike Hawthorn
(ARG) Onofre Marimon
(GBR) Stirling Moss","Ferrari
Gordini
Maserati
Mercedes",1:50.000
1956,Britain,(GBR) Stirling Moss,Maserati,1:43.200
1958,Britain,(GBR) Mike Hawthorn,Ferrari,1:40.800
1960,Britain,(GBR) Graham Hill,BRM,1:34.400
1963,Britain,(GBR) John Surtees,Ferrari,1:36.000
1965,Britain,(GBR) Graham Hill,BRM,1:32.200
1967,Britain,(NZL) Denny Hulme,Brabham-Repco,1:27.000
1969,Britain,(GBR) Jackie Stewart,Matra-Ford Cosworth,1:21.300
1971,Britain,(GBR) Jackie Stewart,Tyrrell-Ford Cosworth,1:19.900
1973,Britain,(GBR) James Hunt,March-Ford Cosworth,1:18.600
1975,Britain,(CHE) Clay Regazzoni,Ferrari,1:20.900
1977,Britain,(GBR) James Hunt,McLaren-Ford Cosworth,1:19.600
1979,Britain,(CHE) Clay Regazzoni,Williams-Ford Cosworth,1:14.400
1981,Britain,(FRA) Rene Arnoux,Renault,1:15.060
1983,Britain,(FRA) Alain Prost,Renault,1:14.212
1985,Britain,(FRA) Alain Prost,McLaren-TAG,1:09.886
1987,Britain,(GBR) Nigel Mansell,Williams-Honda,1:09.832
1988,Britain,(GBR) Nigel Mansell,Williams-Judd,1:23.308
1989,Britain,(GBR) Nigel Mansell,Ferrari,1:12.017
1990,Britain,(GBR) Nigel Mansell,Ferrari,1:11.291
1991,Britain,(GBR) Nigel Mansell,Williams-Renault,1:26.379
1992,Britain,(GBR) Nigel Mansell,Williams-Renault,1:22.539
1993,Britain,(GBR) Damon Hill,Williams-Renault,1:22.515
1994,Britain,(GBR) Damon Hill,Williams-Renault,1:27.100
1995,Britain,(GBR) Damon Hill,Williams-Renault,1:29.752
1996,Britain,(CAN) Jacques Villeneuve,Williams-Renault,1:29.288
1997,Britain,(DEU) Michael Schumacher,Ferrari,1:24.475
1998,Britain,(DEU) Michael Schumacher,Ferrari,1:35.704
1999,Britain,(FIN) Mika Hakkinen,McLaren-Mercedes,1:28.309
2000,Britain,(FIN) Mika Hakkinen,McLaren-Mercedes,1:26.217
2001,Britain,(FIN) Mika Hakkinen,McLaren-Mercedes,1:23.405
2002,Britain,(BRA) Rubens Barrichello,Ferrari,1:23.083
2003,Britain,(BRA) Rubens Barrichello,Ferrari,1:22.236
2004,Britain,(DEU) Michael Schumacher,Ferrari,1:18.739
2005,Britain,(FIN) Kimi Raikkonen,McLaren-Mercedes,1:20.502
2006,Britain,(ESP) Fernando Alonso,Renault,1:21.599
2007,Britain,(FIN) Kimi Raikkonen,Ferrari,1:20.638
2008,Britain,(FIN) Kimi Raikkonen,Ferrari,1:32.150
2009,Britain,(DEU) Sebastian Vettel,Red Bull-Renault,1:20.735
2010,Britain,(ESP) Fernando Alonso,Ferrari,1:30.874
2011,Britain,(ESP) Fernando Alonso,Ferrari,1:34.908
2012,Britain,(FIN) Kimi Raikkonen,Lotus-Renault,1:34.661
2013,Britain,(AUS) Mark Webber,Red Bull-Renault,1:33.401
2014,Britain,(GBR) Lewis Hamilton,Mercedes,1:37.176
2015,Britain,(GBR) Lewis Hamilton,Mercedes,1:37.093
2016,Britain,(DEU) Nico Rosberg,Mercedes,1:35.548
2017,Britain,(GBR) Lewis Hamilton,Mercedes,1:30.621
2018,Britain,(DEU) Sebastian Vettel,Ferrari,1:30.696
2019,Britain,(GBR) Lewis Hamilton,Mercedes,1:27.369
2020,Britain,(NLD) Max Verstappen,Red Bull-Honda,1:27.097
2020,70th Anniversary,(GBR) Lewis Hamilton,Mercedes,1:28.451
2021,Britain,(MEX) Sergio Perez,Red Bull-Honda,1:28.617
2022,Britain,(GBR) Lewis Hamilton,Mercedes,1:30.510
2023,Britain,(NLD) Max Verstappen,Red Bull-Honda RBPT,1:30.275
