constructorResultsId,raceId,constructorId,points,status
1,18,1,14,nan
2,18,2,8,nan
3,18,3,9,nan
4,18,4,5,nan
5,18,5,2,nan
6,18,6,1,nan
7,18,7,0,nan
8,18,8,0,nan
9,18,9,0,nan
10,18,10,0,nan
11,18,11,0,nan
12,19,6,10,nan
13,19,2,11,nan
14,19,1,10,nan
15,19,7,5,nan
16,19,9,2,nan
17,19,4,1,nan
18,19,11,0,nan
19,19,10,0,nan
20,19,3,0,nan
21,19,8,0,nan
22,19,5,0,nan
23,20,6,18,nan
24,20,2,11,nan
25,20,1,4,nan
26,20,7,3,nan
27,20,9,2,nan
28,20,3,1,nan
29,20,4,0,nan
30,20,11,0,nan
31,20,10,0,nan
32,20,5,0,nan
33,20,8,0,nan
34,21,6,18,nan
35,21,1,6,nan
36,21,2,5,nan
37,21,9,4,nan
38,21,11,3,nan
39,21,3,2,nan
40,21,7,1,nan
41,21,10,0,nan
42,21,8,0,nan
43,21,4,0,nan
44,21,5,0,nan
45,22,6,16,nan
46,22,1,8,nan
47,22,2,9,nan
48,22,4,3,nan
49,22,9,2,nan
50,22,3,1,nan
51,22,7,0,nan
52,22,11,0,nan
53,22,10,0,nan
54,22,5,0,nan
55,23,1,11,nan
56,23,2,8,nan
57,23,6,6,nan
58,23,9,5,nan
59,23,5,4,nan
60,23,11,3,nan
61,23,3,2,nan
62,23,4,0,nan
63,23,7,0,nan
64,23,10,0,nan
65,24,2,18,nan
66,24,9,6,nan
67,24,7,8,nan
68,24,6,4,nan
69,24,11,2,nan
70,24,5,1,nan
71,24,1,0,nan
72,24,3,0,nan
73,24,10,0,nan
74,24,4,0,nan
75,25,6,18,nan
76,25,7,6,nan
77,25,1,5,nan
78,25,2,4,nan
79,25,9,3,nan
80,25,4,3,nan
81,25,5,0,nan
82,25,11,0,nan
83,25,3,0,nan
84,25,10,0,nan
85,26,1,14,nan
86,26,2,8,nan
87,26,11,6,nan
88,26,6,5,nan
89,26,4,3,nan
90,26,7,2,nan
91,26,3,1,nan
92,26,9,0,nan
93,26,5,0,nan
94,26,10,0,nan
95,27,1,14,nan
96,27,4,8,nan
97,27,6,9,nan
98,27,2,7,nan
99,27,5,1,nan
100,27,7,0,nan
101,27,3,0,nan
102,27,9,0,nan
103,27,10,0,nan
104,27,11,0,nan
105,28,1,14,nan
106,28,7,10,nan
107,28,6,6,nan
108,28,4,8,nan
109,28,2,1,nan
110,28,9,0,nan
111,28,11,0,nan
112,28,3,0,nan
113,28,10,0,nan
114,28,5,0,nan
115,29,6,10,nan
116,29,1,13,nan
117,29,2,6,nan
118,29,7,6,nan
119,29,5,3,nan
120,29,3,1,nan
121,29,4,0,nan
122,29,9,0,nan
123,29,11,0,nan
124,29,10,0,nan
125,30,6,10,nan
126,30,2,11,nan
127,30,1,6,nan
128,30,4,5,nan
129,30,5,6,nan
130,30,9,1,nan
131,30,7,0,nan
132,30,3,0,nan
133,30,10,0,nan
134,30,11,0,nan
135,31,5,10,nan
136,31,1,10,nan
137,31,2,10,nan
138,31,4,5,nan
139,31,6,3,nan
140,31,9,1,nan
141,31,7,0,nan
142,31,3,0,nan
143,31,11,0,nan
144,31,10,0,nan
145,32,4,10,nan
146,32,3,9,nan
147,32,1,6,nan
148,32,7,5,nan
149,32,5,4,nan
150,32,2,3,nan
151,32,9,2,nan
152,32,11,0,nan
153,32,6,0,nan
154,32,10,0,nan
155,33,4,15,nan
156,33,2,8,nan
157,33,6,8,nan
158,33,7,4,nan
159,33,5,3,nan
160,33,9,1,nan
161,33,3,0,nan
162,33,1,0,nan
163,33,11,0,nan
164,33,10,0,nan
165,34,1,10,nan
166,34,6,14,nan
167,34,4,6,nan
168,34,2,7,nan
169,34,7,2,nan
170,34,5,0,nan
171,34,9,0,nan
172,34,11,0,nan
173,34,3,0,nan
174,34,10,0,nan
175,35,6,16,nan
176,35,4,8,nan
177,35,5,5,nan
178,35,1,6,nan
179,35,7,4,nan
180,35,9,0,nan
181,35,2,0,nan
182,35,3,0,nan
183,35,11,0,nan
184,35,10,0,nan
185,36,6,13,nan
186,36,1,14,"D"
187,36,2,5,nan
188,36,4,4,nan
189,36,3,2,nan
190,36,7,1,nan
191,36,11,0,nan
192,36,8,0,nan
193,36,9,0,nan
194,36,5,0,nan
195,36,12,0,nan
196,37,1,18,"D"
197,37,6,10,nan
198,37,2,5,nan
199,37,4,4,nan
200,37,7,2,nan
201,37,3,0,nan
202,37,9,0,nan
203,37,11,0,nan
204,37,8,0,nan
205,37,5,0,nan
206,37,12,0,nan
207,38,6,16,nan
208,38,1,12,"D"
209,38,2,8,nan
210,38,7,2,nan
211,38,4,1,nan
212,38,3,0,nan
213,38,11,0,nan
214,38,12,0,nan
215,38,8,0,nan
216,38,9,0,nan
217,38,5,0,nan
218,39,6,10,nan
219,39,1,14,"D"
220,39,2,5,nan
221,39,9,4,nan
222,39,3,3,nan
223,39,4,2,nan
224,39,8,1,nan
225,39,11,0,nan
226,39,12,0,nan
227,39,7,0,nan
228,39,5,0,nan
229,40,1,18,"D"
230,40,6,7,nan
231,40,4,5,nan
232,40,2,7,nan
233,40,3,2,nan
234,40,5,0,nan
235,40,11,0,nan
236,40,9,0,nan
237,40,7,0,nan
238,40,8,0,nan
239,40,12,0,nan
240,41,1,12,"D"
241,41,2,8,nan
242,41,3,6,nan
243,41,4,5,nan
244,41,6,4,nan
245,41,8,3,nan
246,41,7,1,nan
247,41,9,0,nan
248,41,11,0,nan
249,41,5,0,nan
250,41,12,0,nan
251,42,1,18,"D"
252,42,6,11,nan
253,42,4,4,nan
254,42,7,3,nan
255,42,9,2,nan
256,42,2,1,nan
257,42,3,0,nan
258,42,8,0,nan
259,42,11,0,nan
260,42,5,0,nan
261,42,12,0,nan
262,43,6,18,nan
263,43,1,8,"D"
264,43,2,9,nan
265,43,4,3,nan
266,43,11,1,nan
267,43,3,0,nan
268,43,7,0,nan
269,43,9,0,nan
270,43,8,0,nan
271,43,12,0,nan
272,43,5,0,nan
273,44,6,14,nan
274,44,1,14,"D"
275,44,2,8,nan
276,44,4,3,nan
277,44,11,0,nan
278,44,9,0,nan
279,44,3,0,nan
280,44,8,0,nan
281,44,12,0,nan
282,44,5,0,nan
283,44,7,0,nan
284,45,1,10,"D"
285,45,6,8,nan
286,45,9,10,nan
287,45,3,5,nan
288,45,2,5,nan
289,45,4,1,nan
290,45,11,0,nan
291,45,8,0,nan
292,45,7,0,nan
293,45,12,0,nan
294,45,5,0,nan
295,46,1,15,"D"
296,46,6,8,nan
297,46,2,10,nan
298,46,7,3,nan
299,46,3,2,nan
300,46,4,1,nan
301,46,9,0,nan
302,46,8,0,nan
303,46,5,0,nan
304,46,12,0,nan
305,46,11,0,nan
306,47,6,18,nan
307,47,1,10,"D"
308,47,2,6,nan
309,47,4,3,nan
310,47,3,2,nan
311,47,9,0,nan
312,47,7,0,nan
313,47,11,0,nan
314,47,8,0,nan
315,47,5,0,nan
316,47,12,0,nan
317,48,1,18,"D"
318,48,6,6,nan
319,48,2,9,nan
320,48,3,3,nan
321,48,4,2,nan
322,48,11,1,nan
323,48,9,0,nan
324,48,7,0,nan
325,48,8,0,nan
326,48,5,0,nan
327,48,12,0,nan
328,49,6,18,nan
329,49,1,11,"D"
330,49,2,4,nan
331,49,3,3,nan
332,49,9,2,nan
333,49,4,1,nan
334,49,7,0,nan
335,49,5,0,nan
336,49,11,0,nan
337,49,12,0,nan
338,49,8,0,nan
339,50,1,10,"D"
340,50,4,12,nan
341,50,6,9,nan
342,50,9,5,nan
343,50,2,2,nan
344,50,12,1,nan
345,50,5,0,nan
346,50,11,0,nan
347,50,7,0,nan
348,50,8,0,nan
349,50,3,0,nan
350,51,6,16,nan
351,51,1,8,"D"
352,51,5,8,nan
353,51,11,4,nan
354,51,2,2,nan
355,51,9,1,nan
356,51,4,0,nan
357,51,3,0,nan
358,51,7,0,nan
359,51,8,0,nan
360,51,12,0,nan
361,52,6,18,nan
362,52,1,8,"D"
363,52,3,5,nan
364,52,2,7,nan
365,52,7,1,nan
366,52,9,0,nan
367,52,8,0,nan
368,52,5,0,nan
369,52,12,0,nan
370,52,11,0,nan
371,52,4,0,nan
372,53,4,10,nan
373,53,6,8,nan
374,53,1,10,nan
375,53,11,5,nan
376,53,3,5,nan
377,53,9,1,nan
378,53,5,0,nan
379,53,2,0,nan
380,53,7,0,nan
381,53,13,0,nan
382,53,8,0,nan
383,54,4,18,nan
384,54,11,6,nan
385,54,1,5,nan
386,54,6,7,nan
387,54,2,2,nan
388,54,7,1,nan
389,54,5,0,nan
390,54,13,0,nan
391,54,8,0,nan
392,54,9,0,nan
393,54,3,0,nan
394,55,4,14,nan
395,55,1,8,nan
396,55,7,6,nan
397,55,2,8,nan
398,55,11,2,nan
399,55,9,1,nan
400,55,5,0,nan
401,55,13,0,nan
402,55,8,0,nan
403,55,6,0,nan
404,55,3,0,nan
405,56,6,15,nan
406,56,4,9,nan
407,56,1,10,nan
408,56,3,3,nan
409,56,11,2,nan
410,56,7,0,nan
411,56,2,0,nan
412,56,5,0,nan
413,56,13,0,nan
414,56,9,0,nan
415,56,8,0,nan
416,57,6,16,nan
417,57,4,11,nan
418,57,1,5,nan
419,57,11,4,nan
420,57,3,2,nan
421,57,2,1,nan
422,57,7,0,nan
423,57,5,0,nan
424,57,13,0,nan
425,57,8,0,nan
426,57,9,0,nan
427,58,4,16,nan
428,58,6,13,nan
429,58,1,4,nan
430,58,11,5,nan
431,58,2,1,nan
432,58,3,0,nan
433,58,7,0,nan
434,58,9,0,nan
435,58,5,0,nan
436,58,13,0,nan
437,58,8,0,nan
438,59,4,13,nan
439,59,1,8,nan
440,59,9,6,nan
441,59,11,5,nan
442,59,6,4,nan
443,59,2,2,nan
444,59,7,1,nan
445,59,5,0,nan
446,59,13,0,nan
447,59,8,0,nan
448,59,3,0,nan
449,60,4,15,nan
450,60,6,12,nan
451,60,1,9,nan
452,60,2,3,nan
453,60,3,0,nan
454,60,11,0,nan
455,60,7,0,nan
456,60,9,0,nan
457,60,5,0,nan
458,60,13,0,nan
459,60,8,0,nan
460,61,4,15,nan
461,61,6,12,nan
462,61,1,6,nan
463,61,7,3,nan
464,61,2,2,nan
465,61,9,1,nan
466,61,11,0,nan
467,61,5,0,nan
468,61,3,0,nan
469,61,13,0,nan
470,61,8,0,nan
471,62,6,18,nan
472,62,4,10,nan
473,62,7,5,nan
474,62,11,3,nan
475,62,9,2,nan
476,62,5,1,nan
477,62,3,0,nan
478,62,13,0,nan
479,62,2,0,nan
480,62,8,0,nan
481,62,1,0,nan
482,63,6,16,nan
483,63,4,11,nan
484,63,7,5,nan
485,63,1,6,nan
486,63,2,1,nan
487,63,9,0,nan
488,63,5,0,nan
489,63,3,0,nan
490,63,13,0,nan
491,63,8,0,nan
492,63,11,0,nan
493,64,6,18,nan
494,64,1,6,nan
495,64,11,5,nan
496,64,4,7,nan
497,64,7,2,nan
498,64,9,1,nan
499,64,5,0,nan
500,64,3,0,nan
501,64,8,0,nan
502,64,2,0,nan
503,64,13,0,nan
504,65,11,15,nan
505,65,1,8,nan
506,65,2,6,nan
507,65,9,4,nan
508,65,7,3,nan
509,65,6,3,nan
510,65,13,0,nan
511,65,5,0,nan
512,65,8,0,nan
513,65,4,0,nan
514,65,3,0,nan
515,66,6,16,nan
516,66,4,11,nan
517,66,11,6,nan
518,66,1,4,nan
519,66,7,2,nan
520,66,3,0,nan
521,66,9,0,nan
522,66,2,0,nan
523,66,5,0,nan
524,66,13,0,nan
525,66,8,0,nan
526,67,6,10,nan
527,67,1,8,nan
528,67,2,7,nan
529,67,4,5,nan
530,67,11,7,nan
531,67,7,2,nan
532,67,3,0,nan
533,67,9,0,nan
534,67,5,0,nan
535,67,8,0,nan
536,67,14,0,nan
537,68,6,10,nan
538,68,4,14,nan
539,68,11,8,nan
540,68,1,4,nan
541,68,2,2,nan
542,68,3,1,nan
543,68,9,0,nan
544,68,5,0,nan
545,68,14,0,nan
546,68,8,0,nan
547,68,7,0,nan
548,69,4,16,nan
549,69,6,8,nan
550,69,11,5,nan
551,69,1,4,nan
552,69,7,5,nan
553,69,2,1,nan
554,69,3,0,nan
555,69,9,0,nan
556,69,5,0,nan
557,69,8,0,nan
558,69,14,0,nan
559,70,6,15,nan
560,70,4,11,nan
561,70,11,8,nan
562,70,1,5,nan
563,70,2,0,nan
564,70,8,0,nan
565,70,5,0,nan
566,70,9,0,nan
567,70,14,0,nan
568,70,7,0,nan
569,70,3,0,nan
570,71,4,16,nan
571,71,6,8,nan
572,71,9,7,nan
573,71,3,4,nan
574,71,1,4,nan
575,71,7,0,nan
576,71,15,0,nan
577,71,16,0,nan
578,71,17,0,nan
579,71,18,0,nan
580,72,4,10,nan
581,72,7,12,nan
582,72,3,6,nan
583,72,1,5,nan
584,72,9,4,nan
585,72,6,2,nan
586,72,15,0,nan
587,72,17,0,nan
588,72,18,0,nan
589,72,16,0,nan
590,73,4,10,nan
591,73,7,13,nan
592,73,1,10,nan
593,73,3,3,nan
594,73,15,2,nan
595,73,9,1,nan
596,73,6,0,nan
597,73,17,0,nan
598,73,18,0,nan
599,73,16,0,nan
600,74,4,10,nan
601,74,6,8,nan
602,74,1,6,nan
603,74,15,5,nan
604,74,7,4,nan
605,74,3,5,nan
606,74,9,1,nan
607,74,17,0,nan
608,74,18,0,nan
609,74,16,0,nan
610,75,1,12,nan
611,75,4,12,nan
612,75,7,11,nan
613,75,3,3,nan
614,75,9,1,nan
615,75,6,0,nan
616,75,15,0,nan
617,75,17,0,nan
618,75,18,0,nan
619,76,1,14,nan
620,76,3,14,nan
621,76,4,5,nan
622,76,7,3,nan
623,76,6,3,nan
624,76,15,0,nan
625,76,17,0,nan
626,76,18,0,nan
627,76,9,0,nan
628,77,4,13,nan
629,77,3,8,nan
630,77,6,10,nan
631,77,9,5,nan
632,77,1,2,nan
633,77,7,1,nan
634,77,16,0,nan
635,77,15,0,nan
636,77,17,0,nan
637,77,18,0,nan
638,78,1,10,nan
639,78,6,14,nan
640,78,15,5,nan
641,78,3,4,nan
642,78,7,3,nan
643,78,9,3,nan
644,78,17,0,nan
645,78,18,0,nan
646,78,16,0,nan
647,78,4,0,nan
648,79,6,18,nan
649,79,17,11,nan
650,79,18,7,nan
651,79,7,0,nan
652,79,1,0,nan
653,79,16,0,nan
654,79,4,0,nan
655,79,3,0,nan
656,79,15,0,nan
657,79,9,0,nan
658,80,4,13,nan
659,80,1,8,nan
660,80,6,6,nan
661,80,16,5,nan
662,80,7,6,nan
663,80,15,1,nan
664,80,9,0,nan
665,80,3,0,nan
666,80,17,0,nan
667,80,18,0,nan
668,81,1,16,nan
669,81,4,13,nan
670,81,16,4,nan
671,81,6,5,nan
672,81,7,1,nan
673,81,15,0,nan
674,81,3,0,nan
675,81,9,0,nan
676,81,17,0,nan
677,81,18,0,nan
678,82,4,15,nan
679,82,1,8,nan
680,82,16,6,nan
681,82,6,4,nan
682,82,7,3,nan
683,82,9,2,nan
684,82,15,1,nan
685,82,3,0,nan
686,82,18,0,nan
687,82,17,0,nan
688,83,1,10,nan
689,83,6,8,nan
690,83,7,11,nan
691,83,16,5,nan
692,83,3,5,nan
693,83,4,0,nan
694,83,17,0,nan
695,83,15,0,nan
696,83,18,0,nan
697,83,9,0,nan
698,84,1,16,nan
699,84,4,13,nan
700,84,16,4,nan
701,84,7,3,nan
702,84,9,3,nan
703,84,6,0,nan
704,84,15,0,nan
705,84,18,0,nan
706,84,17,0,nan
707,84,3,0,nan
708,85,1,15,nan
709,85,4,14,nan
710,85,7,7,nan
711,85,3,2,nan
712,85,16,1,nan
713,85,15,0,nan
714,85,6,0,nan
715,85,9,0,nan
716,85,17,0,nan
717,85,18,0,nan
718,86,1,10,nan
719,86,4,8,nan
720,86,16,6,nan
721,86,3,5,nan
722,86,6,4,nan
723,86,15,3,nan
724,86,7,2,nan
725,86,17,1,nan
726,86,9,0,nan
727,86,18,0,nan
728,87,1,18,nan
729,87,4,10,nan
730,87,6,8,nan
731,87,16,2,nan
732,87,7,1,nan
733,87,9,0,nan
734,87,15,0,nan
735,87,18,0,nan
736,87,17,0,nan
737,87,3,0,nan
738,88,1,10,nan
739,88,4,14,nan
740,88,3,5,nan
741,88,16,4,nan
742,88,9,3,nan
743,88,6,2,nan
744,88,7,1,nan
745,88,15,0,nan
746,88,17,0,nan
747,88,18,0,nan
748,89,4,15,nan
749,89,1,8,nan
750,89,7,6,nan
751,89,9,4,nan
752,89,15,3,nan
753,89,3,2,nan
754,89,16,1,nan
755,89,17,0,nan
756,89,6,0,nan
757,89,18,0,nan
758,90,6,18,nan
759,90,4,8,nan
760,90,3,9,nan
761,90,16,3,nan
762,90,1,1,nan
763,90,15,0,nan
764,90,19,0,nan
765,90,7,0,nan
766,90,17,0,nan
767,90,18,0,nan
768,91,6,15,nan
769,91,3,8,nan
770,91,16,6,nan
771,91,4,6,nan
772,91,1,3,nan
773,91,15,1,nan
774,91,7,0,nan
775,91,19,0,nan
776,91,17,0,nan
777,91,18,0,nan
778,92,6,18,nan
779,92,16,10,nan
780,92,4,8,nan
781,92,3,2,nan
782,92,19,1,nan
783,92,7,0,nan
784,92,15,0,nan
785,92,17,0,nan
786,92,18,0,nan
787,92,1,0,nan
788,93,6,13,nan
789,93,16,8,nan
790,93,3,8,nan
791,93,4,9,nan
792,93,1,1,nan
793,93,15,0,nan
794,93,7,0,nan
795,93,19,0,nan
796,93,18,0,nan
797,93,17,0,nan
798,94,6,18,nan
799,94,4,11,nan
800,94,16,5,nan
801,94,3,3,nan
802,94,15,2,nan
803,94,1,0,nan
804,94,19,0,nan
805,94,7,0,nan
806,94,17,0,nan
807,94,18,0,nan
808,95,4,10,nan
809,95,16,8,nan
810,95,6,6,nan
811,95,3,5,nan
812,95,15,4,nan
813,95,7,4,nan
814,95,17,2,nan
815,95,18,0,nan
816,95,1,0,nan
817,95,19,0,nan
818,96,6,18,nan
819,96,16,6,nan
820,96,4,9,nan
821,96,15,3,nan
822,96,19,2,nan
823,96,3,1,nan
824,96,17,0,nan
825,96,7,0,nan
826,96,18,0,nan
827,96,1,0,nan
828,97,6,18,nan
829,97,16,6,nan
830,97,15,5,nan
831,97,1,7,nan
832,97,17,3,nan
833,97,19,0,nan
834,97,18,0,nan
835,97,4,0,nan
836,97,3,0,nan
837,97,7,0,nan
838,98,6,18,nan
839,98,16,6,nan
840,98,4,5,nan
841,98,7,4,nan
842,98,1,5,nan
843,98,18,1,nan
844,98,15,0,nan
845,98,19,0,nan
846,98,3,0,nan
847,98,17,0,nan
848,99,6,16,nan
849,99,4,13,nan
850,99,16,4,nan
851,99,1,5,nan
852,99,3,1,nan
853,99,19,0,nan
854,99,15,0,nan
855,99,7,0,nan
856,99,17,0,nan
857,99,18,0,nan
858,100,6,16,nan
859,100,1,10,nan
860,100,16,5,nan
861,100,3,4,nan
862,100,15,3,nan
863,100,19,1,nan
864,100,4,0,nan
865,100,7,0,nan
866,100,17,0,nan
867,100,18,0,nan
868,101,6,10,nan
869,101,16,9,nan
870,101,4,6,nan
871,101,1,5,nan
872,101,3,6,nan
873,101,19,3,nan
874,101,15,0,nan
875,101,7,0,nan
876,101,17,0,nan
877,101,18,0,nan
878,102,6,18,nan
879,102,4,6,nan
880,102,3,7,nan
881,102,16,7,nan
882,102,15,1,nan
883,102,1,0,nan
884,102,19,0,nan
885,102,7,0,nan
886,102,17,0,nan
887,102,18,0,nan
888,103,1,12,nan
889,103,6,14,nan
890,103,15,9,nan
891,103,19,3,nan
892,103,7,1,nan
893,103,4,0,nan
894,103,17,0,nan
895,103,3,0,nan
896,103,16,0,nan
897,103,18,0,nan
898,104,6,18,nan
899,104,16,11,nan
900,104,3,6,nan
901,104,1,3,nan
902,104,15,1,nan
903,104,19,0,nan
904,104,4,0,nan
905,104,7,0,nan
906,104,17,0,nan
907,104,18,0,nan
908,105,6,10,nan
909,105,16,11,nan
910,105,1,6,nan
911,105,4,5,nan
912,105,3,4,nan
913,105,15,3,nan
914,105,19,0,nan
915,105,17,0,nan
916,105,7,0,nan
917,105,18,0,nan
918,106,6,10,nan
919,106,3,10,nan
920,106,16,11,nan
921,106,4,4,nan
922,106,1,3,nan
923,106,15,1,nan
924,106,7,0,nan
925,106,19,0,nan
926,106,17,0,nan
927,106,18,0,nan
928,107,3,14,nan
929,107,1,8,nan
930,107,6,8,nan
931,107,4,5,nan
932,107,16,3,nan
933,107,15,1,nan
934,107,7,0,nan
935,107,19,0,nan
936,107,17,0,nan
937,107,18,0,nan
938,108,1,16,nan
939,108,3,9,nan
940,108,6,5,nan
941,108,4,6,nan
942,108,15,3,nan
943,108,16,0,nan
944,108,18,0,nan
945,108,17,0,nan
946,108,19,0,nan
947,108,7,0,nan
948,109,1,10,nan
949,109,6,11,nan
950,109,4,10,nan
951,109,3,5,nan
952,109,16,2,nan
953,109,15,1,nan
954,109,17,0,nan
955,109,7,0,nan
956,109,18,0,nan
957,109,19,0,nan
958,110,17,10,nan
959,110,1,13,nan
960,110,4,7,nan
961,110,15,4,nan
962,110,16,3,nan
963,110,3,2,nan
964,110,19,0,nan
965,110,7,0,nan
966,110,6,0,nan
967,110,18,0,nan
968,111,6,16,nan
969,111,1,12,nan
970,111,3,7,nan
971,111,4,3,nan
972,111,16,1,nan
973,111,7,0,nan
974,111,15,0,nan
975,111,19,0,nan
976,111,17,0,nan
977,111,18,0,nan
978,112,6,16,nan
979,112,4,8,nan
980,112,3,9,nan
981,112,7,3,nan
982,112,19,2,nan
983,112,17,1,nan
984,112,16,0,nan
985,112,15,0,nan
986,112,18,0,nan
987,112,1,0,nan
988,113,6,16,nan
989,113,1,12,nan
990,113,16,5,nan
991,113,3,3,nan
992,113,19,2,nan
993,113,4,1,nan
994,113,7,0,nan
995,113,17,0,nan
996,113,18,0,nan
997,113,15,0,nan
998,114,3,15,nan
999,114,1,10,nan
1000,114,6,7,nan
1001,114,4,7,nan
1002,114,7,0,nan
1003,114,17,0,nan
1004,114,15,0,nan
1005,114,16,0,nan
1006,114,18,0,nan
1007,114,19,0,nan
1008,115,6,14,nan
1009,115,3,14,nan
1010,115,4,5,nan
1011,115,1,3,nan
1012,115,19,2,nan
1013,115,7,1,nan
1014,115,18,0,nan
1015,115,16,0,nan
1016,115,15,0,nan
1017,115,17,0,nan
1018,116,3,18,nan
1019,116,6,10,nan
1020,116,4,5,nan
1021,116,19,3,nan
1022,116,16,2,nan
1023,116,15,1,nan
1024,116,17,0,nan
1025,116,18,0,nan
1026,116,1,0,nan
1027,116,7,0,nan
1028,117,3,18,nan
1029,117,6,8,nan
1030,117,1,9,nan
1031,117,19,3,nan
1032,117,7,1,nan
1033,117,16,0,nan
1034,117,15,0,nan
1035,117,18,0,nan
1036,117,17,0,nan
1037,117,4,0,nan
1038,118,6,15,nan
1039,118,3,8,nan
1040,118,1,10,nan
1041,118,4,3,nan
1042,118,7,2,nan
1043,118,16,1,nan
1044,118,15,0,nan
1045,118,17,0,nan
1046,118,19,0,nan
1047,118,18,0,nan
1048,119,3,10,nan
1049,119,1,8,nan
1050,119,4,11,nan
1051,119,7,7,nan
1052,119,6,2,nan
1053,119,16,1,nan
1054,119,15,0,nan
1055,119,19,0,nan
1056,119,18,0,nan
1057,119,17,0,nan
1058,120,4,12,nan
1059,120,1,12,nan
1060,120,3,11,nan
1061,120,19,3,nan
1062,120,6,1,nan
1063,120,15,0,nan
1064,120,16,0,nan
1065,120,7,0,nan
1066,120,18,0,nan
1067,120,17,0,nan
1068,121,6,16,nan
1069,121,3,12,nan
1070,121,1,5,nan
1071,121,16,3,nan
1072,121,19,2,nan
1073,121,4,1,nan
1074,121,15,0,nan
1075,121,17,0,nan
1076,121,18,0,nan
1077,121,7,0,nan
1078,122,6,10,nan
1079,122,1,8,nan
1080,122,15,10,nan
1081,122,4,5,nan
1082,122,3,3,nan
1083,122,17,2,nan
1084,122,19,1,nan
1085,122,7,0,nan
1086,122,18,0,nan
1087,122,16,0,nan
1088,123,6,11,nan
1089,123,1,14,nan
1090,123,16,8,nan
1091,123,4,4,nan
1092,123,7,2,nan
1093,123,15,0,nan
1094,123,19,0,nan
1095,123,3,0,nan
1096,123,17,0,nan
1097,123,18,0,nan
1098,124,6,10,nan
1099,124,3,6,nan
1100,124,1,4,nan
1101,124,19,3,nan
1102,124,18,2,nan
1103,124,7,1,nan
1104,124,16,0,nan
1105,124,21,0,nan
1106,124,17,0,nan
1107,124,4,0,nan
1108,124,15,0,nan
1109,125,3,16,nan
1110,125,6,4,nan
1111,125,4,3,nan
1112,125,15,3,nan
1113,125,7,0,nan
1114,125,16,0,nan
1115,125,17,0,nan
1116,125,19,0,nan
1117,125,21,0,nan
1118,125,18,0,nan
1119,125,1,0,nan
1120,126,6,10,nan
1121,126,3,8,nan
1122,126,1,4,nan
1123,126,4,3,nan
1124,126,7,1,nan
1125,126,19,0,nan
1126,126,17,0,nan
1127,126,16,0,nan
1128,126,18,0,nan
1129,126,15,0,nan
1130,126,21,0,nan
1131,127,6,16,nan
1132,127,3,7,nan
1133,127,4,2,nan
1134,127,1,1,nan
1135,127,16,0,nan
1136,127,15,0,nan
1137,127,18,0,nan
1138,127,21,0,nan
1139,127,19,0,nan
1140,127,7,0,nan
1141,127,17,0,nan
1142,128,6,10,nan
1143,128,3,6,nan
1144,128,1,4,nan
1145,128,15,5,nan
1146,128,21,1,nan
1147,128,16,0,nan
1148,128,7,0,nan
1149,128,4,0,nan
1150,128,19,0,nan
1151,128,17,0,nan
1152,128,18,0,nan
1153,129,6,16,nan
1154,129,3,7,nan
1155,129,17,2,nan
1156,129,1,1,nan
1157,129,4,0,nan
1158,129,7,0,nan
1159,129,16,0,nan
1160,129,21,0,nan
1161,129,18,0,nan
1162,129,19,0,nan
1163,129,15,0,nan
1164,130,1,10,nan
1165,130,6,6,nan
1166,130,3,4,nan
1167,130,4,3,nan
1168,130,17,2,nan
1169,130,21,1,nan
1170,130,15,0,nan
1171,130,19,0,nan
1172,130,18,0,nan
1173,130,7,0,nan
1174,130,16,0,nan
1175,131,6,14,nan
1176,131,1,9,nan
1177,131,17,2,nan
1178,131,4,1,nan
1179,131,3,0,nan
1180,131,16,0,nan
1181,131,15,0,nan
1182,131,18,0,nan
1183,131,21,0,nan
1184,131,7,0,nan
1185,131,19,0,nan
1186,132,6,16,nan
1187,132,1,4,nan
1188,132,3,3,nan
1189,132,4,2,nan
1190,132,15,1,nan
1191,132,16,0,nan
1192,132,19,0,nan
1193,132,21,0,nan
1194,132,7,0,nan
1195,132,18,0,nan
1196,132,17,0,nan
1197,133,6,16,nan
1198,133,3,4,nan
1199,133,16,5,nan
1200,133,15,1,nan
1201,133,17,0,nan
1202,133,1,0,nan
1203,133,19,0,nan
1204,133,4,0,nan
1205,133,21,0,nan
1206,133,7,0,nan
1207,133,18,0,nan
1208,134,6,10,nan
1209,134,1,10,nan
1210,134,3,5,nan
1211,134,4,1,nan
1212,134,15,0,nan
1213,134,18,0,nan
1214,134,19,0,nan
1215,134,7,0,nan
1216,134,16,0,nan
1217,134,17,0,nan
1218,134,21,0,nan
1219,135,6,13,nan
1220,135,3,10,nan
1221,135,1,2,nan
1222,135,15,1,nan
