nationality,num_drivers,distinct_podium_drivers,total_podiums,distinct_race_winners,total_race_wins,podiums_per_driver,wins_per_driver
British,165,41,744,20,309,4.509090909090909,1.8727272727272728
American,158,36,129,15,33,0.8164556962025317,0.2088607594936709
Italian,99,28,207,15,43,2.090909090909091,0.43434343434343436
French,73,23,309,14,81,4.232876712328767,1.1095890410958904
German,50,13,415,7,179,8.3,3.58
Brazilian,32,9,293,6,101,9.15625,3.15625
Argentine,24,5,98,3,38,4.083333333333333,1.5833333333333333
Swiss,23,3,36,2,7,1.565217391304348,0.30434782608695654
Belgian,23,6,45,2,11,1.9565217391304348,0.4782608695652174
South African,23,2,36,1,10,1.565217391304348,0.43478260869565216
Japanese,20,3,3,0,0,0.15,0.0
Australian,18,5,130,4,43,7.222222222222222,2.388888888888889
Dutch,18,2,91,1,45,5.055555555555555,2.5
Austrian,15,4,118,3,41,7.866666666666666,2.7333333333333334
Spanish,15,4,121,2,33,8.066666666666666,2.2
Canadian,14,3,39,2,17,2.7857142857142856,1.2142857142857142
Swedish,10,5,44,3,12,4.4,1.2
Finnish,9,7,245,5,57,27.22222222222222,6.333333333333333
New Zealander,9,3,71,2,12,7.888888888888889,1.3333333333333333
Mexican,6,2,40,2,8,6.666666666666667,1.3333333333333333
Irish,5,0,0,0,0,0.0,0.0
Danish,5,1,1,0,0,0.2,0.0
Monegasque,4,2,28,1,5,7.0,1.25
Russian,4,2,4,0,0,1.0,0.0
Uruguayan,4,0,0,0,0,0.0,0.0
Portuguese,4,1,1,0,0,0.25,0.0
Rhodesian,4,1,1,0,0,0.25,0.0
East German,3,0,0,0,0,0.0,0.0
Venezuelan,3,1,1,1,1,0.3333333333333333,0.3333333333333333
Colombian,3,1,30,1,7,10.0,2.3333333333333335
Indian,2,0,0,0,0,0.0,0.0
Thai,2,1,2,0,0,1.0,0.0
Indonesian,1,0,0,0,0,0.0,0.0
Argentine-Italian,1,0,0,0,0,0.0,0.0
Polish,1,1,12,1,1,12.0,1.0
American-Italian,1,0,0,0,0,0.0,0.0
Liechtensteiner,1,0,0,0,0,0.0,0.0
Chilean,1,0,0,0,0,0.0,0.0
Czech,1,0,0,0,0,0.0,0.0
Malaysian,1,0,0,0,0,0.0,0.0
Hungarian,1,0,0,0,0,0.0,0.0
Chinese,1,0,0,0,0,0.0,0.0
