year,silver_fastest_lap_time,silver_fastest_lap_speed,silver_pole_time,monza_fastest_lap_time,monza_fastest_lap_speed,monza_pole_time,monaco_fastest_lap_time,monaco_fastest_lap_speed,monaco_pole_time
1950,110.6,,110.8,120.0,,118.3,111.0,,110.2
1951,104.0,,103.4,116.5,,113.2,,,
1952,112.0,,110.0,126.1,,125.7,,,
1953,110.0,,108.0,124.5,,122.7,,,
1954,110.0,,105.0,120.8,,119.0,,,
1956,103.2,,101.0,165.5,,162.6,104.4,,104.0
1958,100.8,,99.4,102.9,,100.5,100.6,,99.8
1960,94.4,,94.6,163.6,,161.4,96.2,,96.3
1963,96.0,,94.4,98.9,,97.3,94.5,,94.3
1965,92.2,,90.8,96.4,,95.9,91.7,,92.5
1967,87.0,,85.3,88.5,,88.5,89.5,,87.6
1969,81.3,,80.8,85.2,,85.48,85.1,,84.6
1971,79.9,,78.1,83.8,,82.4,82.2,,83.2
1973,78.6,,76.3,95.3,,94.8,88.1,,87.5
1975,80.9,,79.36,93.1,,92.24000000000001,88.67,,86.4
1977,79.6,,78.49,99.1,,98.08,91.07,,89.86
1979,74.4,,71.88,95.6,,94.58,88.82,,86.45
1981,75.06,,71.0,97.52799999999999,,93.467,87.47,,85.71000000000001
1983,74.212,,69.462,94.431,,89.122,87.283,,84.84
1985,69.886,,65.591,88.283,,85.084,82.637,,80.45
1987,69.832,,67.11,86.79599999999999,,83.46000000000001,87.685,,83.039
1988,83.30799999999999,,70.133,89.07,,85.974,86.321,,83.998
1989,72.017,,69.099,88.107,,83.72,85.501,,82.30799999999999
1990,71.291,,67.428,86.254,,82.533,84.468,,81.314
1991,86.379,,80.939,86.061,,81.114,84.368,,80.344
1992,82.539,,78.965,86.119,,82.221,81.598,,79.495
1993,82.515,,79.006,83.575,,81.179,83.604,,80.557
1994,87.1,,84.96000000000001,85.93,,83.844,81.076,,78.56
1995,89.752,,88.124,86.419,,84.462,84.621,,81.952
1996,89.288,,86.875,86.11,,84.20400000000001,85.205,,80.356
1997,84.475,,81.598,84.80799999999999,,82.99,113.315,,78.21600000000001
1998,95.70400000000001,,83.271,85.139,,85.289,82.94800000000001,,79.798
1999,88.309,,84.804,85.57900000000001,,82.432,82.259,,80.547
2000,86.217,,85.703,85.595,,83.77,81.571,,79.475
2001,83.405,,80.447,85.07300000000001,,82.21600000000001,79.424,,77.43
2002,83.083,,78.998,83.657,,80.264,78.023,,76.676
2003,82.236,,81.209,81.832,,80.963,74.545,,75.259
2004,78.739,235.049,78.233,81.04599999999999,257.32,80.089,74.439,161.528,73.985
2005,80.502,229.902,79.905,81.504,255.874,81.054,75.842,158.54,150.323
2006,81.599,226.811,80.253,82.559,252.604,81.48400000000001,75.143,160.014,73.962
2007,80.638,229.514,79.997,82.871,251.653,81.997,75.284,159.715,75.726
2008,92.15,200.842,81.049,88.047,236.859,97.555,76.689,156.789,75.787
2009,80.735,229.238,79.509,84.739,246.106,84.066,75.154,159.991,74.902
2010,90.874,233.373,89.615,84.139,247.861,81.962,75.19200000000001,159.91,73.826
2011,94.908,223.454,90.399,86.187,241.971,82.275,76.23400000000001,157.724,73.556
2012,94.661,224.037,111.74600000000001,87.239,239.053,84.01,77.29599999999999,155.557,74.381
2013,93.40100000000001,227.059,89.607,85.849,242.924,83.755,76.577,157.018,73.876
2014,97.176,218.239,95.76599999999999,88.004,236.975,84.10900000000001,78.479,153.212,75.989
2015,97.093,218.425,92.24799999999999,86.672,240.617,83.39699999999999,78.063,153.891,75.098
2016,95.548,221.957,89.287,85.34,244.373,81.135,77.939,154.135,73.622
2017,90.621,234.025,86.6,83.361,250.174,95.554,74.82,160.561,72.178
2018,90.696,233.831,85.892,82.497,252.794,79.119,74.26,161.772,70.81
2019,87.369,242.735,85.093,81.779,255.014,79.307,74.279,161.73,70.166
2020,87.09700000000001,239.766,84.303,82.746,252.033,78.887,,,
2021,88.617,239.317,86.134,84.812,245.894,79.555,72.909,164.769,70.346
2022,90.51,234.312,100.983,84.03,248.182,80.161,74.693,160.834,71.376
2023,90.275,234.922,86.72,,,,75.65,158.799,71.365
