year,grand_prix,driver,constructor,race,pole_margin,pole_time
1950,Italy,(ARG) Juan Manuel Fangio,Alfa Romeo,DNF,0.100s,1:58.300
1951,Italy,(ARG) Juan Manuel Fangio,Alfa Romeo,DNF,0.700s,1:53.200
1952,Italy,(ITA) Alberto Ascari,Ferrari,1,0.900s,2:05.700
1953,Italy,(ITA) Alberto Ascari,Ferrari,DNF,0.500s,2:02.700
1954,Italy,(ARG) Juan Manuel Fangio,Mercedes,1,0.200s,1:59.000
1955,Italy,(ARG) Juan Manuel Fangio,Mercedes,1,0.300s,2:46.500
1956,Italy,(ARG) Juan Manuel Fangio,Ferrari,2,0.800s,2:42.600
1957,Italy,(GBR) Stuart Lewis-Evans,Vanwall,DNF,0.300s,1:42.400
1958,Italy,(GBR) Stirling Moss,Vanwall,DNF,0.900s,1:40.500
1959,Italy,(GBR) Stirling Moss,Cooper-Climax,1,0.100s,1:39.700
1960,Italy,(USA) Phil Hill,Ferrari,1,1.900s,2:41.400
1961,Italy,(DEU) Wolfgang von Trips,Ferrari,DNF,0.100s,2:46.300
1962,Italy,(GBR) Jim Clark,Lotus-Climax,DNF,0.030s,1:40.350
1963,Italy,(GBR) John Surtees,Ferrari,DNF,1.200s,1:37.300
1964,Italy,(GBR) John Surtees,Ferrari,1,0.800s,1:37.400
1965,Italy,(GBR) Jim Clark,Lotus-Climax,10,0.200s,1:35.900
1966,Italy,(GBR) Mike Parkes,Ferrari,2,0.300s,1:31.300
1967,Italy,(GBR) Jim Clark,Lotus-Ford Cosworth,3,0.300s,1:28.500
1968,Italy,(GBR) John Surtees,Honda,DNF,0.040s,1:26.070
1969,Italy,(AUT) Jochen Rindt,Lotus-Ford Cosworth,2,0.210s,1:25.480
1970,Italy,(BEL) Jacky Ickx,Ferrari,DNF,0.220s,1:24.140
1971,Italy,(NZL) Chris Amon,Matra,6,0.420s,1:22.400
1972,Italy,(BEL) Jacky Ickx,Ferrari,DNF,0.040s,1:35.650
1973,Italy,(SWE) Ronnie Peterson,Lotus-Ford Cosworth,1,0.490s,1:34.800
1974,Italy,(AUT) Niki Lauda,Ferrari,DNF,0.110s,1:33.160
1975,Italy,(AUT) Niki Lauda,Ferrari,3,0.510s,1:32.240
1976,Italy,(FRA) Jacques Laffite,Ligier-Matra,3,0.030s,1:41.350
1977,Italy,(GBR) James Hunt,McLaren-Ford Cosworth,DNF,0.070s,1:38.080
1978,Italy,(USA) Mario Andretti,Lotus-Ford Cosworth,6,0.346s,1:37.520
1979,Italy,(FRA) Jean-Pierre Jabouille,Renault,14R,0.124s,1:34.580
1981,Italy,(FRA) Rene Arnoux,Renault,DNF,0.673s,1:33.467
1982,Italy,(USA) Mario Andretti,Ferrari,3,0.035s,1:28.473
