nationality,num_drivers,distinct_podium_drivers,total_podiums,distinct_race_winners,total_race_wins,podiums_per_driver,wins_per_driver
Italian,43,13,122,6,18,2.8372093023255816,0.4186046511627907
French,33,13,221,10,71,6.696969696969697,2.1515151515151514
British,32,13,487,9,196,15.21875,6.125
Brazilian,23,8,253,4,86,11.0,3.739130434782609
German,21,7,395,5,176,18.80952380952381,8.380952380952381
Japanese,15,3,3,0,0,0.2,0.0
Spanish,9,3,120,2,33,13.333333333333334,3.6666666666666665
Austrian,9,3,66,2,18,7.333333333333333,2.0
American,8,3,11,0,0,1.375,0.0
Dutch,8,2,91,1,45,11.375,5.625
Finnish,7,7,245,5,57,35.0,8.142857142857142
Swiss,7,0,0,0,0,0.0,0.0
Argentine,7,1,16,1,3,2.2857142857142856,0.42857142857142855
Australian,6,3,90,3,24,15.0,4.0
Belgian,6,1,15,1,3,2.5,0.5
Canadian,6,3,30,2,13,5.0,2.1666666666666665
Russian,4,2,4,0,0,1.0,0.0
Irish,4,0,0,0,0,0.0,0.0
Portuguese,3,1,1,0,0,0.3333333333333333,0.0
Colombian,3,1,30,1,7,10.0,2.3333333333333335
Swedish,3,1,12,0,0,4.0,0.0
Danish,3,1,1,0,0,0.3333333333333333,0.0
Mexican,3,1,33,1,6,11.0,2.0
Venezuelan,2,1,1,1,1,0.5,0.5
South African,2,0,0,0,0,0.0,0.0
Indian,2,0,0,0,0,0.0,0.0
Monegasque,2,1,27,1,5,13.5,2.5
New Zealander,2,0,0,0,0,0.0,0.0
Thai,1,1,2,0,0,2.0,0.0
Indonesian,1,0,0,0,0,0.0,0.0
Polish,1,1,12,1,1,12.0,1.0
Hungarian,1,0,0,0,0,0.0,0.0
Chilean,1,0,0,0,0,0.0,0.0
Czech,1,0,0,0,0,0.0,0.0
Malaysian,1,0,0,0,0,0.0,0.0
Chinese,1,0,0,0,0,0.0,0.0
